Word,Frequency
are,1
select,1
minimize,1
compared,1
government,2
bonds,5
level,2
as,1
than,1
with,2
to,3
nearing,1
of,3
consider,1
they,1
issuing,1
investing,1
maintaining,1
reputable,1
moderate,1
stability,1
in,2
can,1
while,1
highlyrated,1
offer,1
however,1
bit,1
stable,1
higher,1
case,1
your,1
retirement,1
the,2
earn,1
yield,1
safety,1
reasonable,1
financial,1
ensure,1
a,4
corporate,2
company,1
potentially,1
come,1
associated,1
more,1
from,1
companies,1
credit,1
financially,1
slightly,1
risk,2
you,3
